Date,Open,High,Low,Close,Adj Close,Volume,Open_lag1,Open_lag2,Open_lag3,Open_lag4,Open_lag5,Open_lag6,Open_lag7,High_lag1,High_lag2,High_lag3,High_lag4,High_lag5,High_lag6,High_lag7,Low_lag1,Low_lag2,Low_lag3,Low_lag4,Low_lag5,Low_lag6,Low_lag7,Close_lag1,Close_lag2,Close_lag3,Close_lag4,Close_lag5,Close_lag6,Close_lag7,Adj Close_lag1,Adj Close_lag2,Adj Close_lag3,Adj Close_lag4,Adj Close_lag5,Adj Close_lag6,Adj Close_lag7,Volume_lag1,Volume_lag2,Volume_lag3,Volume_lag4,Volume_lag5,Volume_lag6,Volume_lag7
10/18/2014,383.976013,395.15799,378.971008,391.441986,391.441986,11416800.0,382.756012,394.518005,400.954987,391.691986,377.92099,362.605988,361.362,385.477997,398.807007,402.22699,411.697998,397.226013,379.433014,367.19101,375.389008,373.070007,388.765991,391.324005,368.897003,356.144012,355.950989,383.757996,382.556,394.77301,400.869995,390.414001,378.549011,362.299011,383.757996,382.556,394.77301,400.869995,390.414001,378.549011,362.299011,13600700.0,26990000.0,25267100.0,38491500.0,35221400.0,17552800.0,13345200.0
10/19/2014,391.253998,393.938995,386.457001,389.54599,389.54599,5914570.0,383.976013,382.756012,394.518005,400.954987,391.691986,377.92099,362.605988,395.15799,385.477997,398.807007,402.22699,411.697998,397.226013,379.433014,378.971008,375.389008,373.070007,388.765991,391.324005,368.897003,356.144012,391.441986,383.757996,382.556,394.77301,400.869995,390.414001,378.549011,391.441986,383.757996,382.556,394.77301,400.869995,390.414001,378.549011,11416800.0,13600700.0,26990000.0,25267100.0,38491500.0,35221400.0,17552800.0
10/20/2014,389.230988,390.084015,378.252014,382.845001,382.845001,16419000.0,391.253998,383.976013,382.756012,394.518005,400.954987,391.691986,377.92099,393.938995,395.15799,385.477997,398.807007,402.22699,411.697998,397.226013,386.457001,378.971008,375.389008,373.070007,388.765991,391.324005,368.897003,389.54599,391.441986,383.757996,382.556,394.77301,400.869995,390.414001,389.54599,391.441986,383.757996,382.556,394.77301,400.869995,390.414001,5914570.0,11416800.0,13600700.0,26990000.0,25267100.0,38491500.0,35221400.0
10/21/2014,382.42099,392.645996,380.834015,386.475006,386.475006,14188900.0,389.230988,391.253998,383.976013,382.756012,394.518005,400.954987,391.691986,390.084015,393.938995,395.15799,385.477997,398.807007,402.22699,411.697998,378.252014,386.457001,378.971008,375.389008,373.070007,388.765991,391.324005,382.845001,389.54599,391.441986,383.757996,382.556,394.77301,400.869995,382.845001,389.54599,391.441986,383.757996,382.556,394.77301,400.869995,16419000.0,5914570.0,11416800.0,13600700.0,26990000.0,25267100.0,38491500.0
10/22/2014,386.118011,388.575989,382.248993,383.15799,383.15799,11641300.0,382.42099,389.230988,391.253998,383.976013,382.756012,394.518005,400.954987,392.645996,390.084015,393.938995,395.15799,385.477997,398.807007,402.22699,380.834015,378.252014,386.457001,378.971008,375.389008,373.070007,388.765991,386.475006,382.845001,389.54599,391.441986,383.757996,382.556,394.77301,386.475006,382.845001,389.54599,391.441986,383.757996,382.556,394.77301,14188900.0,16419000.0,5914570.0,11416800.0,13600700.0,26990000.0,25267100.0
10/23/2014,382.962006,385.048004,356.446991,358.416992,358.416992,26456900.0,386.118011,382.42099,389.230988,391.253998,383.976013,382.756012,394.518005,388.575989,392.645996,390.084015,393.938995,395.15799,385.477997,398.807007,382.248993,380.834015,378.252014,386.457001,378.971008,375.389008,373.070007,383.15799,386.475006,382.845001,389.54599,391.441986,383.757996,382.556,383.15799,386.475006,382.845001,389.54599,391.441986,383.757996,382.556,11641300.0,14188900.0,16419000.0,5914570.0,11416800.0,13600700.0,26990000.0
10/24/2014,358.591003,364.345001,353.304993,358.345001,358.345001,15585700.0,382.962006,386.118011,382.42099,389.230988,391.253998,383.976013,382.756012,385.048004,388.575989,392.645996,390.084015,393.938995,395.15799,385.477997,356.446991,382.248993,380.834015,378.252014,386.457001,378.971008,375.389008,358.416992,383.15799,386.475006,382.845001,389.54599,391.441986,383.757996,358.416992,383.15799,386.475006,382.845001,389.54599,391.441986,383.757996,26456900.0,11641300.0,14188900.0,16419000.0,5914570.0,11416800.0,13600700.0
10/25/2014,358.610992,359.860992,342.877014,347.270996,347.270996,18127500.0,358.591003,382.962006,386.118011,382.42099,389.230988,391.253998,383.976013,364.345001,385.048004,388.575989,392.645996,390.084015,393.938995,395.15799,353.304993,356.446991,382.248993,380.834015,378.252014,386.457001,378.971008,358.345001,358.416992,383.15799,386.475006,382.845001,389.54599,391.441986,358.345001,358.416992,383.15799,386.475006,382.845001,389.54599,391.441986,15585700.0,26456900.0,11641300.0,14188900.0,16419000.0,5914570.0,11416800.0
10/26/2014,347.487,359.221008,343.931,354.70401,354.70401,11272500.0,358.610992,358.591003,382.962006,386.118011,382.42099,389.230988,391.253998,359.860992,364.345001,385.048004,388.575989,392.645996,390.084015,393.938995,342.877014,353.304993,356.446991,382.248993,380.834015,378.252014,386.457001,347.270996,358.345001,358.416992,383.15799,386.475006,382.845001,389.54599,347.270996,358.345001,358.416992,383.15799,386.475006,382.845001,389.54599,18127500.0,15585700.0,26456900.0,11641300.0,14188900.0,16419000.0,5914570.0
10/27/2014,354.777008,358.631989,349.80899,352.989014,352.989014,13033000.0,347.487,358.610992,358.591003,382.962006,386.118011,382.42099,389.230988,359.221008,359.860992,364.345001,385.048004,388.575989,392.645996,390.084015,343.931,342.877014,353.304993,356.446991,382.248993,380.834015,378.252014,354.70401,347.270996,358.345001,358.416992,383.15799,386.475006,382.845001,354.70401,347.270996,358.345001,358.416992,383.15799,386.475006,382.845001,11272500.0,18127500.0,15585700.0,26456900.0,11641300.0,14188900.0,16419000.0
